label,nr_errors,total,perc. errors
film.film,125.0,0,inf
food.food,0.0,0,
tv.tv_program_creator,3.0,0,inf
music.lyricist,12.0,0,inf
film.film_distributor,9.0,0,inf
award.award_presenting_organization,0.0,0,
fictional_universe.fictional_character,2.0,0,inf
book.author,15.0,0,inf
tv.tv_genre,3.0,0,inf
celebrities.celebrity,7.0,0,inf
tv.tv_actor,58.0,0,inf
award.competition,5.0,0,inf
film.actor,100.0,0,inf
music.producer,9.0,0,inf
music.performance_role,2.0,0,inf
music.musical_scale,4.0,0,inf
broadcast.broadcast,13.0,0,inf
business.product_category,1.0,0,inf
location.administrative_division,1.0,0,inf
broadcast.radio_station,7.0,0,inf
broadcast.radio_format,1.0,0,inf
music.group_member,39.0,0,inf
theater.theater_actor,1.0,0,inf
language.human_language,0.0,0,
book.written_work,1.0,0,inf
business.business_operation,49.0,0,inf
award.award_discipline,2.0,0,inf
film.film_festival_focus,2.0,0,inf
film.film_genre,1.0,0,inf
location.location,6.0,0,inf
music.record_label,13.0,0,inf
film.producer,22.0,0,inf
music.composer,33.0,0,inf
film.music_contributor,8.0,0,inf
government.politician,0.0,0,
award.award_ceremony,17.0,0,inf
music.composition,41.0,0,inf
film.film_character,4.0,0,inf
broadcast.tv_station,1.0,0,inf
theater.play,1.0,0,inf
tv.tv_director,3.0,0,inf
law.invention,1.0,0,inf
location.country,4.0,0,inf
film.production_company,10.0,0,inf
time.event,24.0,0,inf
tv.tv_character,0.0,0,
book.book,5.0,0,inf
tv.tv_producer,1.0,0,inf
music.writer,1.0,0,inf
location.citytown,1.0,0,inf
book.periodical,2.0,0,inf
award.award_category,2.0,0,inf
film.writer,28.0,0,inf
music.album,34.0,0,inf
film.director,77.0,0,inf
tv.tv_network,1.0,0,inf
broadcast.artist,31.0,0,inf
spaceflight.astronaut,0.0,0,
music.musical_group,10.0,0,inf
music.artist,45.0,0,inf
interests.collection_category,1.0,0,inf
media_common.media_genre,4.0,0,inf
organization.organization,26.0,0,inf
people.person,146.0,0,inf
music.genre,2.0,0,inf
music.media_format,0.0,0,
